"Commune";"insee";"An";"N";"SAU";"Culture";"Commune_MAJ";"SAU_irri";"lib"
"Saint-Joseph";97412;2010;126;77,12;"PAPAM";"SAINT-JOSEPH";3,66;"plantes à parfum, aromatiques, médicinales"
"Saint-Joseph";97412;2020;116;90,72;"PAPAM";"SAINT-JOSEPH";3,67;"plantes à parfum, aromatiques, médicinales"
"Saint-Joseph";97412;2010;14;2,48;"Horticulture";"SAINT-JOSEPH";0;"Fleurs et plantes ornementales"
"Saint-Joseph";97412;2020;9;2,51;"Horticulture";"SAINT-JOSEPH";2,27;"Fleurs et plantes ornementales"
"Saint-Leu";97413;2010;105;1461,65;"STH & fourrages";"SAINT-LEU";37,56;NA
"Saint-Leu";97413;2020;86;1750,8;"STH & fourrages";"SAINT-LEU";51,55;NA
"Saint-Leu";97413;2010;165;98,59;"Maraîchage & tubercules";"SAINT-LEU";62,44;NA
"Saint-Leu";97413;2020;140;88,92;"Maraîchage & tubercules";"SAINT-LEU";74,32;NA
"Saint-Leu";97413;2010;6;3,23;"Céréales";"SAINT-LEU";NA;"céréales"
"Saint-Leu";97413;2020;8;2,82;"Céréales";"SAINT-LEU";0,77;"céréales"
"Saint-Leu";97413;2010;3;0,1;"Grain";"SAINT-LEU";0;"protéagineux et légumes secs pour leur graine"
"Saint-Leu";97413;2020;NA;NA;"Grain";"SAINT-LEU";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Leu";97413;2010;223;1435,79;"Canne à sucre";"SAINT-LEU";787,92;"plantes à fibres et plantes industrielles diverses"
"Saint-Leu";97413;2020;173;1175,42;"Canne à sucre";"SAINT-LEU";762,67;"plantes à fibres et plantes industrielles diverses"
"Saint-Leu";97413;2010;37;14,55;"PAPAM";"SAINT-LEU";2,9;"plantes à parfum, aromatiques, médicinales"
"Saint-Leu";97413;2020;42;8,43;"PAPAM";"SAINT-LEU";5,39;"plantes à parfum, aromatiques, médicinales"
"Saint-Leu";97413;2010;12;2,82;"Horticulture";"SAINT-LEU";0;"Fleurs et plantes ornementales"
"Saint-Leu";97413;2020;7;1,28;"Horticulture";"SAINT-LEU";1,28;"Fleurs et plantes ornementales"
"Saint-Louis";97414;2010;73;223,76;"STH & fourrages";"SAINT-LOUIS";25,67;NA
"Saint-Louis";97414;2020;59;169,14;"STH & fourrages";"SAINT-LOUIS";67,03;NA
"Saint-Louis";97414;2010;116;62,92;"Maraîchage & tubercules";"SAINT-LOUIS";47,69;NA
"Saint-Louis";97414;2020;88;57,64;"Maraîchage & tubercules";"SAINT-LOUIS";43,05;NA
"Saint-Louis";97414;2010;NA;NA;"Céréales";"SAINT-LOUIS";NA;"céréales"
"Saint-Louis";97414;2020;5;1,34;"Céréales";"SAINT-LOUIS";0,84;"céréales"
"Saint-Louis";97414;2010;0;0;"Grain";"SAINT-LOUIS";0;"protéagineux et légumes secs pour leur graine"
"Saint-Louis";97414;2020;NA;NA;"Grain";"SAINT-LOUIS";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Louis";97414;2010;282;1222,37;"Canne à sucre";"SAINT-LOUIS";542,25;"plantes à fibres et plantes industrielles diverses"
"Saint-Louis";97414;2020;214;1048,71;"Canne à sucre";"SAINT-LOUIS";549,27;"plantes à fibres et plantes industrielles diverses"
"Saint-Louis";97414;2010;52;24,1;"PAPAM";"SAINT-LOUIS";9,27;"plantes à parfum, aromatiques, médicinales"
"Saint-Louis";97414;2020;33;16,35;"PAPAM";"SAINT-LOUIS";10,52;"plantes à parfum, aromatiques, médicinales"
"Saint-Louis";97414;2010;8;1,11;"Horticulture";"SAINT-LOUIS";0;"Fleurs et plantes ornementales"
"Saint-Louis";97414;2020;NA;NA;"Horticulture";"SAINT-LOUIS";NA;"Fleurs et plantes ornementales"
"Saint-Paul";97415;2010;268;1488,06;"STH & fourrages";"SAINT-PAUL";72,02;NA
"Saint-Paul";97415;2020;142;1378,81;"STH & fourrages";"SAINT-PAUL";197,1;NA
"Saint-Paul";97415;2010;289;132,73;"Maraîchage & tubercules";"SAINT-PAUL";108,2;NA
"Saint-Paul";97415;2020;298;196,34;"Maraîchage & tubercules";"SAINT-PAUL";174,14;NA
"Saint-Paul";97415;2010;101;32,16;"Céréales";"SAINT-PAUL";16,48;"céréales"
"Saint-Paul";97415;2020;10;4,72;"Céréales";"SAINT-PAUL";1,72;"céréales"
"Saint-Paul";97415;2010;4;1,2;"Grain";"SAINT-PAUL";1,2;"protéagineux et légumes secs pour leur graine"
"Saint-Paul";97415;2020;6;1,5;"Grain";"SAINT-PAUL";1,35;"protéagineux et légumes secs pour leur graine"
"Saint-Paul";97415;2010;357;1827,15;"Canne à sucre";"SAINT-PAUL";854,42;"plantes à fibres et plantes industrielles diverses"
"Saint-Paul";97415;2020;249;1340,44;"Canne à sucre";"SAINT-PAUL";756,79;"plantes à fibres et plantes industrielles diverses"
"Saint-Paul";97415;2010;141;61,27;"PAPAM";"SAINT-PAUL";26,56;"plantes à parfum, aromatiques, médicinales"
"Saint-Paul";97415;2020;119;46,74;"PAPAM";"SAINT-PAUL";26,75;"plantes à parfum, aromatiques, médicinales"
"Saint-Paul";97415;2010;28;27,21;"Horticulture";"SAINT-PAUL";0;"Fleurs et plantes ornementales"
"Saint-Paul";97415;2020;27;40,75;"Horticulture";"SAINT-PAUL";40,25;"Fleurs et plantes ornementales"
"Saint-Pierre";97416;2010;133;533,93;"STH & fourrages";"SAINT-PIERRE";138,21;NA
"Saint-Pierre";97416;2020;109;383,34;"STH & fourrages";"SAINT-PIERRE";161,44;NA
"Saint-Pierre";97416;2010;164;123,63;"Maraîchage & tubercules";"SAINT-PIERRE";93,47;NA
"Saint-Pierre";97416;2020;194;137,06;"Maraîchage & tubercules";"SAINT-PIERRE";107,13;NA
"Saint-Pierre";97416;2010;20;3,85;"Céréales";"SAINT-PIERRE";2,63;"céréales"
"Saint-Pierre";97416;2020;7;1,78;"Céréales";"SAINT-PIERRE";0,53;"céréales"
"Saint-Pierre";97416;2010;0;0;"Grain";"SAINT-PIERRE";0;"protéagineux et légumes secs pour leur graine"
"Saint-Pierre";97416;2020;NA;NA;"Grain";"SAINT-PIERRE";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Pierre";97416;2010;517;2946,97;"Canne à sucre";"SAINT-PIERRE";2227,55;"plantes à fibres et plantes industrielles diverses"
"Saint-Pierre";97416;2020;428;2443,87;"Canne à sucre";"SAINT-PIERRE";1858,37;"plantes à fibres et plantes industrielles diverses"
"Saint-Pierre";97416;2010;59;15,49;"PAPAM";"SAINT-PIERRE";11,83;"plantes à parfum, aromatiques, médicinales"
"Saint-Pierre";97416;2020;53;16,22;"PAPAM";"SAINT-PIERRE";14,78;"plantes à parfum, aromatiques, médicinales"
"Saint-Pierre";97416;2010;27;21,8;"Horticulture";"SAINT-PIERRE";0;"Fleurs et plantes ornementales"
"Saint-Pierre";97416;2020;17;25,11;"Horticulture";"SAINT-PIERRE";25,11;"Fleurs et plantes ornementales"
"Saint-Philippe";97417;2010;0;0;"STH & fourrages";"SAINT-PHILIPPE";0;NA
"Saint-Philippe";97417;2020;3;0;"STH & fourrages";"SAINT-PHILIPPE";0;NA
"Saint-Philippe";97417;2010;68;109,15;"Maraîchage & tubercules";"SAINT-PHILIPPE";0;NA
"Saint-Philippe";97417;2020;14;5,76;"Maraîchage & tubercules";"SAINT-PHILIPPE";2,49;NA
"Saint-Philippe";97417;2010;NA;NA;"Céréales";"SAINT-PHILIPPE";0;"céréales"
"Saint-Philippe";97417;2020;3;2,08;"Céréales";"SAINT-PHILIPPE";NA;"céréales"
"Saint-Philippe";97417;2010;0;0;"Grain";"SAINT-PHILIPPE";0;"protéagineux et légumes secs pour leur graine"
"Saint-Philippe";97417;2020;0;0;"Grain";"SAINT-PHILIPPE";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Philippe";97417;2010;105;788,2;"Canne à sucre";"SAINT-PHILIPPE";0;"plantes à fibres et plantes industrielles diverses"
"Saint-Philippe";97417;2020;93;763,71;"Canne à sucre";"SAINT-PHILIPPE";NA;"plantes à fibres et plantes industrielles diverses"
"Saint-Philippe";97417;2010;55;141,46;"PAPAM";"SAINT-PHILIPPE";0;"plantes à parfum, aromatiques, médicinales"
"Saint-Philippe";97417;2020;115;236,88;"PAPAM";"SAINT-PHILIPPE";NA;"plantes à parfum, aromatiques, médicinales"
"Saint-Philippe";97417;2010;NA;NA;"Horticulture";"SAINT-PHILIPPE";0;"Fleurs et plantes ornementales"
"Saint-Philippe";97417;2020;NA;0,63;"Horticulture";"SAINT-PHILIPPE";NA;"Fleurs et plantes ornementales"
"Sainte-Marie";97418;2010;65;347,52;"STH & fourrages";"SAINTE-MARIE";0;NA
"Sainte-Marie";97418;2020;21;229,67;"STH & fourrages";"SAINTE-MARIE";0;NA
"Sainte-Marie";97418;2010;65;34,99;"Maraîchage & tubercules";"SAINTE-MARIE";13,64;NA
"Sainte-Marie";97418;2020;39;20,23;"Maraîchage & tubercules";"SAINTE-MARIE";14,08;NA
"Sainte-Marie";97418;2010;NA;NA;"Céréales";"SAINTE-MARIE";NA;"céréales"
"Sainte-Marie";97418;2020;0;0;"Céréales";"SAINTE-MARIE";NA;"céréales"
"Sainte-Marie";97418;2010;0;0;"Grain";"SAINTE-MARIE";0;"protéagineux et légumes secs pour leur graine"
"Sainte-Marie";97418;2020;0;0;"Grain";"SAINTE-MARIE";NA;"protéagineux et légumes secs pour leur graine"
"Sainte-Marie";97418;2010;68;1608,66;"Canne à sucre";"SAINTE-MARIE";148,14;"plantes à fibres et plantes industrielles diverses"
"Sainte-Marie";97418;2020;46;1332,81;"Canne à sucre";"SAINTE-MARIE";112,24;"plantes à fibres et plantes industrielles diverses"
"Sainte-Marie";97418;2010;26;4,52;"PAPAM";"SAINTE-MARIE";1,87;"plantes à parfum, aromatiques, médicinales"
"Sainte-Marie";97418;2020;15;10,17;"PAPAM";"SAINTE-MARIE";2,04;"plantes à parfum, aromatiques, médicinales"
"Sainte-Marie";97418;2010;45;19,34;"Horticulture";"SAINTE-MARIE";0;"Fleurs et plantes ornementales"
"Sainte-Marie";97418;2020;36;19,19;"Horticulture";"SAINTE-MARIE";18,93;"Fleurs et plantes ornementales"
"Sainte-Rose";97419;2010;0;0;"STH & fourrages";"SAINTE-ROSE";0;NA
"Sainte-Rose";97419;2020;4;2,03;"STH & fourrages";"SAINTE-ROSE";0;NA
"Sainte-Rose";97419;2010;29;32,29;"Maraîchage & tubercules";"SAINTE-ROSE";0,51;NA
"Sainte-Rose";97419;2020;9;3,43;"Maraîchage & tubercules";"SAINTE-ROSE";1,17;NA
"Sainte-Rose";97419;2010;NA;NA;"Céréales";"SAINTE-ROSE";0;"céréales"
"Sainte-Rose";97419;2020;NA;NA;"Céréales";"SAINTE-ROSE";NA;"céréales"
"Sainte-Rose";97419;2010;0;0;"Grain";"SAINTE-ROSE";0;"protéagineux et légumes secs pour leur graine"
"Sainte-Rose";97419;2020;0;0;"Grain";"SAINTE-ROSE";NA;"protéagineux et légumes secs pour leur graine"
"Sainte-Rose";97419;2010;177;1436,86;"Canne à sucre";"SAINTE-ROSE";0;"plantes à fibres et plantes industrielles diverses"
"Sainte-Rose";97419;2020;159;1472,98;"Canne à sucre";"SAINTE-ROSE";NA;"plantes à fibres et plantes industrielles diverses"
"Sainte-Rose";97419;2010;33;42,3;"PAPAM";"SAINTE-ROSE";0;"plantes à parfum, aromatiques, médicinales"
"Sainte-Rose";97419;2020;63;88,4;"PAPAM";"SAINTE-ROSE";NA;"plantes à parfum, aromatiques, médicinales"
"Sainte-Rose";97419;2010;4;0,75;"Horticulture";"SAINTE-ROSE";0;"Fleurs et plantes ornementales"
"Sainte-Rose";97419;2020;3;1,44;"Horticulture";"SAINTE-ROSE";NA;"Fleurs et plantes ornementales"
"Sainte-Suzanne";97420;2010;44;66,63;"STH & fourrages";"SAINTE-SUZANNE";0;NA
"Sainte-Suzanne";97420;2020;20;24,86;"STH & fourrages";"SAINTE-SUZANNE";0;NA
"Sainte-Suzanne";97420;2010;71;58;"Maraîchage & tubercules";"SAINTE-SUZANNE";17,04;NA
"Sainte-Suzanne";97420;2020;54;31,65;"Maraîchage & tubercules";"SAINTE-SUZANNE";8,14;NA
"Sainte-Suzanne";97420;2010;NA;NA;"Céréales";"SAINTE-SUZANNE";0;"céréales"
"Sainte-Suzanne";97420;2020;NA;0,31;"Céréales";"SAINTE-SUZANNE";NA;"céréales"
"Sainte-Suzanne";97420;2010;0;0;"Grain";"SAINTE-SUZANNE";0;"protéagineux et légumes secs pour leur graine"
"Sainte-Suzanne";97420;2020;NA;0,74;"Grain";"SAINTE-SUZANNE";NA;"protéagineux et légumes secs pour leur graine"
"Sainte-Suzanne";97420;2010;145;1516,02;"Canne à sucre";"SAINTE-SUZANNE";NA;"plantes à fibres et plantes industrielles diverses"
"Sainte-Suzanne";97420;2020;127;1588,08;"Canne à sucre";"SAINTE-SUZANNE";NA;"plantes à fibres et plantes industrielles diverses"
"Sainte-Suzanne";97420;2010;25;3,59;"PAPAM";"SAINTE-SUZANNE";1,68;"plantes à parfum, aromatiques, médicinales"
"Sainte-Suzanne";97420;2020;19;3,91;"PAPAM";"SAINTE-SUZANNE";0,8;"plantes à parfum, aromatiques, médicinales"
"Sainte-Suzanne";97420;2010;12;3,33;"Horticulture";"SAINTE-SUZANNE";0;"Fleurs et plantes ornementales"
"Sainte-Suzanne";97420;2020;5;2,72;"Horticulture";"SAINTE-SUZANNE";2,3;"Fleurs et plantes ornementales"
"Salazie";97421;2010;57;49,12;"STH & fourrages";"SALAZIE";1,99;NA
"Salazie";97421;2020;44;31,38;"STH & fourrages";"SALAZIE";0;NA
"Salazie";97421;2010;256;192,73;"Maraîchage & tubercules";"SALAZIE";129,82;NA
"Salazie";97421;2020;217;213,32;"Maraîchage & tubercules";"SALAZIE";172,71;NA
"Salazie";97421;2010;36;11,03;"Céréales";"SALAZIE";4,33;"céréales"
"Salazie";97421;2020;NA;NA;"Céréales";"SALAZIE";NA;"céréales"
"Salazie";97421;2010;0;0;"Grain";"SALAZIE";0;"protéagineux et légumes secs pour leur graine"
"Salazie";97421;2020;0;0;"Grain";"SALAZIE";NA;"protéagineux et légumes secs pour leur graine"
"Salazie";97421;2010;13;62,93;"Canne à sucre";"SALAZIE";1,1;"plantes à fibres et plantes industrielles diverses"
"Salazie";97421;2020;8;43,25;"Canne à sucre";"SALAZIE";NA;"plantes à fibres et plantes industrielles diverses"
"Salazie";97421;2010;29;1,81;"PAPAM";"SALAZIE";1,31;"plantes à parfum, aromatiques, médicinales"
"Salazie";97421;2020;63;7,39;"PAPAM";"SALAZIE";7,19;"plantes à parfum, aromatiques, médicinales"
"Salazie";97421;2010;19;5,31;"Horticulture";"SALAZIE";0;"Fleurs et plantes ornementales"
"Salazie";97421;2020;13;8,24;"Horticulture";"SALAZIE";8,19;"Fleurs et plantes ornementales"
"Le Tampon";97422;2010;393;5040,61;"STH & fourrages";"LE TAMPON";69,83;NA
"Le Tampon";97422;2020;322;4783,18;"STH & fourrages";"LE TAMPON";19,31;NA
"Le Tampon";97422;2010;753;561,93;"Maraîchage & tubercules";"LE TAMPON";427,86;NA
"Le Tampon";97422;2020;740;578,21;"Maraîchage & tubercules";"LE TAMPON";471,22;NA
"Le Tampon";97422;2010;17;8,9;"Céréales";"LE TAMPON";3,14;"céréales"
"Le Tampon";97422;2020;8;2,05;"Céréales";"LE TAMPON";NA;"céréales"
"Le Tampon";97422;2010;4;0,65;"Grain";"LE TAMPON";0,3;"protéagineux et légumes secs pour leur graine"
"Le Tampon";97422;2020;0;0;"Grain";"LE TAMPON";NA;"protéagineux et légumes secs pour leur graine"
"Le Tampon";97422;2010;188;1470,77;"Canne à sucre";"LE TAMPON";278,67;"plantes à fibres et plantes industrielles diverses"
"Le Tampon";97422;2020;133;1015,79;"Canne à sucre";"LE TAMPON";198,57;"plantes à fibres et plantes industrielles diverses"
"Le Tampon";97422;2010;122;37,52;"PAPAM";"LE TAMPON";22,69;"plantes à parfum, aromatiques, médicinales"
"Le Tampon";97422;2020;119;26,22;"PAPAM";"LE TAMPON";13,33;"plantes à parfum, aromatiques, médicinales"
"Le Tampon";97422;2010;61;27,64;"Horticulture";"LE TAMPON";0;"Fleurs et plantes ornementales"
"Le Tampon";97422;2020;37;20,29;"Horticulture";"LE TAMPON";17,56;"Fleurs et plantes ornementales"
"Les Trois-Bassins";97423;2010;67;879,58;"STH & fourrages";"LES TROIS-BASSINS";0;NA
"Les Trois-Bassins";97423;2020;55;615,51;"STH & fourrages";"LES TROIS-BASSINS";5,17;NA
"Les Trois-Bassins";97423;2010;23;12,47;"Maraîchage & tubercules";"LES TROIS-BASSINS";4,17;NA
"Les Trois-Bassins";97423;2020;35;22,55;"Maraîchage & tubercules";"LES TROIS-BASSINS";10,66;NA
"Les Trois-Bassins";97423;2010;0;0;"Céréales";"LES TROIS-BASSINS";0;"céréales"
"Les Trois-Bassins";97423;2020;NA;0,45;"Céréales";"LES TROIS-BASSINS";NA;"céréales"
"Les Trois-Bassins";97423;2010;NA;NA;"Grain";"LES TROIS-BASSINS";0;"protéagineux et légumes secs pour leur graine"
"Les Trois-Bassins";97423;2020;0;0;"Grain";"LES TROIS-BASSINS";NA;"protéagineux et légumes secs pour leur graine"
"Les Trois-Bassins";97423;2010;46;209,66;"Canne à sucre";"LES TROIS-BASSINS";36,45;"plantes à fibres et plantes industrielles diverses"
"Les Trois-Bassins";97423;2020;31;149,34;"Canne à sucre";"LES TROIS-BASSINS";56,45;"plantes à fibres et plantes industrielles diverses"
"Les Trois-Bassins";97423;2010;13;7,87;"PAPAM";"LES TROIS-BASSINS";1,4;"plantes à parfum, aromatiques, médicinales"
"Les Trois-Bassins";97423;2020;11;3,89;"PAPAM";"LES TROIS-BASSINS";0,55;"plantes à parfum, aromatiques, médicinales"
"Les Trois-Bassins";97423;2010;NA;NA;"Horticulture";"LES TROIS-BASSINS";0;"Fleurs et plantes ornementales"
"Les Trois-Bassins";97423;2020;3;3,73;"Horticulture";"LES TROIS-BASSINS";3,73;"Fleurs et plantes ornementales"
"Cilaos";97424;2010;13;14,37;"STH & fourrages";"CILAOS";0;NA
"Cilaos";97424;2020;0;0;"STH & fourrages";"CILAOS";0;NA
"Cilaos";97424;2010;84;39,69;"Maraîchage & tubercules";"CILAOS";35,76;NA
"Cilaos";97424;2020;54;32,35;"Maraîchage & tubercules";"CILAOS";32,35;NA
"Cilaos";97424;2010;NA;NA;"Céréales";"CILAOS";NA;"céréales"
"Cilaos";97424;2020;NA;NA;"Céréales";"CILAOS";NA;"céréales"
"Cilaos";97424;2010;40;15,87;"Grain";"CILAOS";15,86;"protéagineux et légumes secs pour leur graine"
"Cilaos";97424;2020;20;13,4;"Grain";"CILAOS";13,4;"protéagineux et légumes secs pour leur graine"
"Cilaos";97424;2010;0;0;"Canne à sucre";"CILAOS";1,01;"plantes à fibres et plantes industrielles diverses"
"Cilaos";97424;2020;0;0;"Canne à sucre";"CILAOS";NA;"plantes à fibres et plantes industrielles diverses"
"Cilaos";97424;2010;11;1,83;"PAPAM";"CILAOS";1,83;"plantes à parfum, aromatiques, médicinales"
"Cilaos";97424;2020;NA;0,05;"PAPAM";"CILAOS";NA;"plantes à parfum, aromatiques, médicinales"
"Cilaos";97424;2010;NA;NA;"Horticulture";"CILAOS";0;"Fleurs et plantes ornementales"
"Cilaos";97424;2020;0;0;"Horticulture";"CILAOS";NA;"Fleurs et plantes ornementales"
